Released	Program Name	Program Revision	Approximate Date	Predecessor Name	Predecessor Revision	Known PCRs/PCNs/Software Anomaly Reports Incorporated Relative to Predecessor	References	Notes
	LUMINARY	146-147	1970-03-18	LUMINARY	145	PCR-898, PCR-286, PCR-287, PCR-287, L-1B-11, PCR-982, PCR-991.2, PCR-988, PCR-1015	LUMINARY Memo #142	
	LUMINARY	148-151	1970-05-05	LUMINARY	147	PCR-1015, PCR-988, PCR-970.2, PCR-302.2, PCR-1013, L-17, PCR-896, PCR-256, L-18, L-16, L-10, PCR-298, PCR-296, PCR-996	LUMINARY Memo #145	
	LUMINARY	152-154	1970-05-15	LUMINARY	151	PCR-1021, PCR-996, PCR-991.2, PCR-991.2, PCR-996, PCR-1027, PCR-1022, L-20, PCR-1028, PCR-296, L-19, PCR-307, L-22, PCR-1209, PCR-896, PCR-942	LUMINARY Memo #150	
	LUMINARY	155-158	1970-05-19	LUMINARY	154	PCR-1027, PCR-307, L-7, PCR-1029, PCR-942, PCR-314, L-24, L-23, TBD (2), PCR-306, PCR-315.2, PCR-287, L-1C-06, L-1C-08	LUMINARY Memo #151	
	LUMINARY	159-162	1970-06-09	LUMINARY	158	PCR-310, PCR-942, PCR-307, PCR-1027, PCN-1036, PCR-996, L-1C-06, L-1C-03, L-25, PCN-1037, PCR-1021, PCR-896, TBD (1)	LUMINARY Memo #156	
R	LUMINARY	163	1970-06-09	LUMINARY	162	PCR-310, PCR-942, PCR-307, PCR-1027, PCN-1036, PCR-996, L-1C-06, L-1C-03, L-25, PCN-1037, PCR-1021, PCR-896, TBD (1)	LUMINARY Memo #156	
	LUMINARY	164-167	1970-06-10	LUMINARY	163	L-1C-01, TBD (3), PCR-1012, PCN-1048, PCR-988, L-20, PCN-1052, PCR-896, L-27	LUMINARY Memo #157	
	LUMINARY	168-172	1970-06-18	LUMINARY	167	L-20, PCR-988, PCR-896, PCR-1012, L-1C-01, PCN-1048, PCR-1052, L-27	LUMINARY Memo #158	
R	LUMINARY	173	1970-06-18	LUMINARY	172	L-20, PCR-988, PCR-896, PCR-1012, L-1C-01, PCN-1048, PCR-1052, L-27	LUMINARY Memo #158	
	LUMINARY	174-177	1970-09-17	LUMINARY	173	PCR-322, PCR-1056, PCR-1058	LUMINARY Memo #167 rev 1	
R	LUMINARY	178	1970-09-17	LUMINARY	177	PCR-322, PCR-1056, PCR-1058	LUMINARY Memo #167 rev 1	LUMINARY 178 was the Lunar Module AGC software flown on Apollo 14.
	LUMINARY	179	1970-10-11	LUMINARY	178	(none)	LUMINARY Memo #172	
	LUMINARY	180	1970-10-11	LUMINARY	179	(none)	LUMINARY Memo #172	
	LUMINARY	181	1970-10-12	LUMINARY	180	L-34	LUMINARY Memo #173	
	LUMINARY	182	1970-10-13	LUMINARY	181	PCR-324, PCR-340, PCR-896, L-28, L-31, L-32, L-35, L-36, L-1D-01, L-1D-04, L-1D-06, L-1D-12, TBD (1)	LUMINARY Memo #175	
	LUMINARY	183	1970-10-14	LUMINARY	182	PCR-317.2, PCR-324, L-1D-02, L-26	LUMINARY Memo #176	
	LUMINARY	184	1970-10-27	LUMINARY	183	PCR-317.2, L-26	LUMINARY Memo #179	
	LUMINARY	185	1970-10-27	LUMINARY	184	L-37, PCR-1066, PCR-338, PCR-324, TBD (2)	LUMINARY Memo #179	
	LUMINARY	186	1970-12-08	LUMINARY	185	PCR-1044, PCR-1082.2, PCR-335, PCR-339, L-40	LUMINARY Memo #182	
	LUMINARY	187	1970-12-09	LUMINARY	186	L-38, PCR-1044	LUMINARY Memo #183	
	LUMINARY	188	1970-12-15	LUMINARY	187	TBD (2)	LUMINARY Memo #184	
	LUMINARY	189	1970-12-15	LUMINARY	188	TBD (1)	LUMINARY Memo #184	
	LUMINARY	190	1970-12-15	LUMINARY	189	PCR-333, L-1D-14, L-29, L-30, PCR-343, PCR-339, PCR-1044, L-38, L-40, TBD (1)	LUMINARY Memo #184	
	LUMINARY	191	1970-12-17	LUMINARY	190	PCR-1088, PCR-336 rev 1, PCR-1097.2, PCR-1100, PCR-1117.2, PCR-341, PCR-324, PCR-333, L-34	LUMINARY Memo #185	
	LUMINARY	192	1970-12-18	LUMINARY	191	PCR-1091, PCR-1093, PCR-1079, PCR-1097.2	LUMINARY Memo #187	
	LUMINARY	193	1970-12-20	LUMINARY	192	PCR-334 rev 1, PCR-1124, L-1D-15, PCR-324, PCR-336, PCR-1091, L-1D-12	LUMINARY Memo #188	
