Signal      Source(s)                       Sink(s)                                                         
SETCD/      A14-1                           A8-2,A14-1                                                      
SETEK       A14-1                           
SGUM        A4-1                            A4-1                                                            
SH3MS/      A19-1                           A19-1                                                           
SHAFTD      A23-2                           A13-1,A20-2                                                     
SHAFTM      A27                             A20-2,A24-2                                                     
SHAFTP      A27                             A20-2,A24-2                                                     
SHANC       A21-1                           A12-2                                                           
SHANC/      A21-1                           A5-2                                                            
SHFTDM      A23-2                           A29                                                             
SHFTDP      A23-2                           A29                                                             
SHIFT       A12-2                           A5-1,A6-2,A7-1                                                  
SHIFT/      A12-2                           A5-2                                                            
SHINC       A21-1                           A12-2                                                           
SHINC/      A21-1                           A19-1                                                           
SIGNX       A27                             A19-2                                                           
SIGNY       A28                             A19-2                                                           
SIGNZ       A29                             A19-2                                                           
SMSEPR      A28                             A17-1                                                           
SPSRDY      A28                             A17-1                                                           
SQ0/        A3-1                            A3-2,A4-2                                                       
SQ1/        A3-1                            A3-2,A4-1                                                       
SQ2/        A3-1                            A3-2,A4-2                                                       
SQ3/        A3-1                            A3-2                                                            
SQ4/        A3-1                            A3-2                                                            
SQ5         A3-1                            A3-2                                                            
SQ5/        A3-2                            A3-2                                                            
SQ5QC0      A3-2                            A3-2                                                            
SQ6/        A3-1                            A3-2                                                            
SQ7/        A3-1                            A3-2                                                            
SQEXT       A3-1                            A3-2,A4-2                                                       
SQEXT/      A3-1                            A3-2,A4-1                                                       
SQR10       A3-1                            A4-2                                                            
SQR10/      A3-1                            A4-2                                                            
SQR11       A3-1                            A3-1                                                            
SQR12       A3-1                            A3-1,A4-2                                                       
SQR12/      A3-1                            
SQR13       A3-1                            
SQR14       A3-1                            
SQR16       A3-1                            A3-1                                                            
SR/         A12-2                           A7-1                                                            
ST0/        A4-1                            A3-2,A4-1,A4-2,A21-2                                            
ST1         A6-2                            A4-1                                                            
ST1/        A4-1                            A3-2,A21-2                                                      
ST1376/     A4-1                            A4-1                                                            
ST1D        A4-1                            A4-1                                                            
ST2         A6-2                            A4-1                                                            
ST2/        A5-1                            A6-2                                                            
ST3/        A4-1                            A3-2                                                            
ST376       A4-1                            
ST376/      A4-1                            A4-1                                                            
ST4/        A4-1                            A4-1                                                            
STARON      A16-2                           A25                                                             
STBE        A14-1                           A6-1                                                            
STBF        A14-1                           A6-1                                                            
STD2        A4-1                            A3-2,A5-1,A21-2                                                 
STFET1/     A21-2                           A5-2,A6-2,A7-2                                                  
STG1        A4-1                            A4-1                                                            
STG2        A4-1                            A4-1                                                            
STG3        A4-1                            A4-1                                                            
STNDBY      A18-1,A25                       A18-1                                                           
STNDBY/     A18-1                           A13-1,A18-1                                                     
STOP        A2-2                            A2-1,A2-2,A18-1                                                 
STOP/       A2-2                            A2-2,A6-1                                                       
STOPA       A2-2                            A2-1,A2-2                                                       
STORE1      A21-2                           A21-2                                                           
STORE1/     A21-2                           A4-2                                                            
STR14       A15-2                           B15                                                             
STR19       A15-2                           B15                                                             
STR210      A15-2                           B15                                                             
STR311      A15-2                           B15                                                             
STR412      A15-2                           B15                                                             
STR58       A15-2                           B15                                                             
STR912      A15-2                           B15                                                             
STRGAT      A14-1                           A15-2                                                           
STRPRS      A27                             A17-1                                                           
STRT1       A13-1                           A2-2                                                            
STRT2       B8                              A2-1,A2-2,A6-1,A9-1,A9-2,A13-1,A14-1                            
STRTFC      A3-1                            A3-1,A4-1                                                       
SU0         A3-2                            A6-2                                                            
SUMA01/     A8-1                            A8-1,A15-1                                                      
SUMA02/     A8-1,A11-1                      A8-1,A15-1                                                      
SUMA03/     A8-2                            A8-2,A15-1                                                      
SUMA04/     A8-2,A11-1                      A8-2                                                            
SUMA05/     A9-1                            A9-1                                                            
SUMA06/     A9-1                            A9-1                                                            
SUMA07/     A9-2,A11-2                      A9-2                                                            
SUMA08/     A9-2                            A9-2                                                            
SUMA09/     A10-1                           A10-1                                                           
SUMA10/     A10-1                           A10-1                                                           
SUMA11/     A10-2                           A10-2,A15-1                                                     
SUMA12/     A10-2,A11-2                     A10-2,A15-1                                                     
SUMA13/     A11-1                           A11-1,A15-1                                                     
SUMA14/     A11-1                           A11-1,A15-1                                                     
SUMA15/     A11-2                           A11-2,A24-2                                                     
SUMA16/     A11-2                           A4-1,A11-2,A13-1,A15-1                                          
SUMB01/     A8-1                            A8-1,A15-1                                                      
SUMB02/     A8-1                            A8-1,A15-1                                                      
SUMB03/     A8-2                            A8-2,A15-1                                                      
SUMB04/     A8-2                            A8-2                                                            
SUMB05/     A9-1                            A9-1                                                            
SUMB06/     A9-1                            A9-1                                                            
SUMB07/     A9-2                            A9-2                                                            
SUMB08/     A9-2                            A9-2                                                            
SUMB09/     A10-1                           A10-1                                                           
SUMB10/     A10-1                           A10-1                                                           
SUMB11/     A10-2                           A10-2,A15-1                                                     
SUMB12/     A10-2                           A10-2,A15-1                                                     
SUMB13/     A11-1                           A11-1,A15-1                                                     
SUMB14/     A11-1                           A11-1,A15-1                                                     
SUMB15/     A11-2                           A11-2,A24-2                                                     
SUMB16/     A11-2                           A4-1,A11-2,A13-1,A15-1                                          
SYNC14/     A13-1                           
SYNC4/      A13-1                           
T01         A2-3,A24-2                      A2-3,A4-1,A5-1,A6-1,A14-1                                       
T01/        A2-3                            A2-3,A3-1,A4-2,A5-1,A5-2,A6-1,A14-1                             
T01DC/      A2-3                            A2-3,A24-2                                                      
T02         A2-3                            A2-3,A3-1,A6-1,A24-2                                            
T02/        A2-3,A24-2                      A2-3,A4-2,A5-1,A5-2,A6-1,A12-2,A14-1,A21-2,A24-1                
T02DC/      A2-3                            A2-3                                                            
T03         A2-1,A2-3                       A2-3,A6-1,A12-2,A14-1                                           
T03/        A2-3,A12-2                      A2-3,A4-2,A5-1,A5-2,A6-2,A12-1,A13-1,A14-1                      
T03DC/      A2-3                            A2-1,A2-3                                                       
T04         A2-3                            A2-3,A6-1,A12-2                                                 
T04/        A2-3,A12-2                      A2-3,A4-2,A5-1,A5-2,A6-1,A6-2,A13-1,A14-1                       
T05         A2-3                            A2-3,A6-1,A12-2,A14-1,A18-1                                     
T05/        A2-3,A12-2                      A2-3,A4-2,A5-1,A5-2,A14-1                                       
T06         A2-3                            A2-3,A6-1,A14-1,A24-2                                           
T06/        A2-3                            A2-3,A4-2,A5-1,A5-2,A6-2,A14-1,A19-1                            
T06DC/      A2-3                            A2-3                                                            
T07         A2-3,A3-1                       A2-3,A6-1,A12-2,A14-1                                           
T07/        A2-3,A12-2                      A2-3,A4-2,A5-1,A5-2,A6-2,A14-1,A21-2,A23-2                      
T07DC/      A2-3                            A2-3,A3-1                                                       
T08         A2-3                            A2-3,A6-1,A14-1,A24-2                                           
T08/        A2-3                            A2-3,A4-2,A5-1,A5-2,A6-2,A14-1                                  
T08DC/      A2-3                            A2-3                                                            
T09         A2-3,A24-2                      A2-3,A6-1,A14-1                                                 
T09/        A2-3                            A2-3,A4-2,A5-1,A5-2,A13-1                                       
T09DC/      A2-3                            A2-3,A24-2                                                      
T10         A2-3                            A2-3,A6-1,A12-2,A13-1,A15-1                                     
T10/        A2-3,A12-2                      A2-3,A4-2,A5-1,A5-2,A6-2,A7-2,A13-1,A14-1,A21-2                 
T10DC/      A2-3                            A2-3                                                            
T11         A2-3                            A2-3,A6-1,A14-1,A18-1                                           
T11/        A2-3                            A2-3,A4-2,A5-1,A5-2,A6-2,A21-2                                  
T12         A2-3                            A2-3,A5-1,A6-1                                                  
T12/        A2-3                            A2-3,A3-1,A4-1,A5-2,A12-2,A14-1,A21-2                           
T12A        A12-2                           A12-1,A12-2,A14-1,A15-1,A21-1                                   
T12DC/      A2-3                            A2-2,A2-3                                                       
T12SET      A2-3                            
T12USE/     A4-1                            A4-1,A5-2,A6-1                                                  
T1P         A19-2                           A20-1,A24-2                                                     
T2P         A19-1                           A20-1,A24-2                                                     
T3P         A19-2                           A20-1,A24-2                                                     
T4P         A19-2                           A20-1,A24-2                                                     
T5P         A19-2                           A20-1,A24-2                                                     
T6ON/       A23-2                           A19-2,A23-2                                                     
T6P         A19-2                           A20-1,A24-2                                                     
T6RPT       A15-2                           A23-2                                                           
T7PHS4      A23-1,A23-2                     A23-2                                                           
T7PHS4/     A23-2                           A12-1                                                           
TC0         A3-2                            A3-2,A5-1,A13-1                                                 
TC0/        A3-2                            A5-1                                                            
TCF0        A3-2                            A3-2,A5-1,A13-1                                                 
TCSAJ3      A3-2                            A3-2,A14-1                                                      
TCSAJ3/     A3-2                            A5-1                                                            
TEMPIN      A29                             A17-1,A18-1                                                     
TEMPIN/     A18-1                           A13-1                                                           
THRST+      A19-1                           A27                                                             
THRST-      A19-1                           A27                                                             
THRSTD      A19-1                           A13-1,A20-2                                                     
TIMR        A6-1                            A14-1                                                           
TL15        A4-2                            A4-1,A6-2                                                       
TMPCAU      A13-1                           A26                                                             
TMPOUT      A16-2                           A13-1                                                           
TMZ/        A4-2,A5-1,A5-2                  A4-1                                                            
TO61        A6-2                                                            
TOV/        A5-2,A6-1                       A4-1                                                            
TPARG/      A14-1                           A12-1                                                           
TPGE        A14-1                           A14-1                                                           
TPGF        A14-1                           A14-1                                                           
TPOR/       A18-1                           A17-1,A18-1,A18-2                                               
TPORA/      A18-2                           A18-2                                                           
TPZG/       A5-1                            A4-1                                                            
TRAN+X      A27                             A17-1                                                           
TRAN+Y      A27                             A17-1                                                           
TRAN+Z      A27                             A17-1                                                           
TRAN-X      A27                             A17-1                                                           
TRAN-Y      A27                             A17-1                                                           
TRAN-Z      A27                             A17-1                                                           
TRNDM       A23-2                           A29                                                             
TRNDP       A23-2                           A29                                                             
TRNM        A27                             A20-1,A24-2                                                     
TRNP        A27                             A20-1,A24-2                                                     
TRP31A      A17-1                           A17-1                                                           
TRP31B      A17-1                           A17-1                                                           
TRP32       A17-1                           A17-1                                                           
TRSM        A5-2                            A4-1                                                            
TRSM/       A4-1                            A4-1                                                            
TRST10      A28                             A17-1                                                           
TRST9       A28                             A17-1                                                           
TRUND       A23-2                           A13-1,A20-2                                                     
TS0         A3-2                            A3-2,A5-2                                                       
TS0/        A3-2                            A4-2,A5-2                                                       
TSGN/       A4-2,A5-1,A5-2                  A4-1                                                            
TSGN2       A4-2                            A4-1                                                            
TSGU/       A6-1                            A4-1,A6-1                                                       
TSUDO/      A5-1                            A5-1,A12-1                                                      
TT/         A2-1                            A7-2                                                            
TVCNAB      A16-1                           A25                                                             
TWOX        A6-1                            A8-1                                                            
U2BBK       A5-2                            A7-2,A24-2                                                      
U2BBKG/     A24-2                           A15-1                                                           
ULLTHR      A27                             A17-1                                                           
UNF         A2-3                            A2-3                                                            
UNF/        A2-3                            A4-1                                                            
UPL0        A29                             A19-2                                                           
UPL0/       A19-2                           A19-1                                                           
UPL1        A29                             A19-2                                                           
UPL1/       A19-2                           A19-1                                                           
UPLACT      A16-2                           A26                                                             
UPRUPT      A19-2                           A15-2                                                           
US2SG       A24-2                           A11-2                                                           
VFAIL       B8                              A13-1                                                           
VNFLSH      A16-2                           A26                                                             
W1110       A19-2                           A18-1,A19-2                                                     
WA/         A5-1,A5-2,A6-2                  A7-1                                                            
WAG/        A7-1                            A8-1,A8-2,A9-1,A9-2,A10-1,A10-2,A11-1,A11-2                     
WALSG       A7-1                            A7-1                                                            
WALSG/      A7-1                            A8-1,A8-2,A9-1,A9-2,A10-1,A10-2,A11-1,A11-2                     
WAND0       A4-2                            A4-2,A5-2,A6-2                                                  
WARN        A13-1                           A13-1                                                           
WATCH       A24-1                           A24-1                                                           
WATCH/      A24-1                           
WATCHP      A24-1                           A13-1,A24-1                                                     
WB/         A5-1,A5-2,A6-1                  A7-1                                                            
WBBEG/      A7-2                            A7-2,A15-1                                                      
WBG/        A7-1                            A7-1,A8-1,A8-2,A9-1,A9-2,A10-1,A10-2,A11-1,A11-2                
WCH/        A4-2                            A24-1,A24-2                                                     
WCH05/      A16-1                           A16-1                                                           
WCH06/      A16-1                           A16-1                                                           
WCH07/      A23-2                           A23-2                                                           
WCH10/      A17-2                           A17-2                                                           
WCH11/      A17-2                           A16-2,A19-2,A23-2                                               
WCH12/      A16-2                           A16-1,A16-2,A23-2                                               
WCH13/      A22-1                           A17-1,A18-1,A18-2,A19-1,A19-2,A22-1,A23-2                       
WCH14/      A22-1                           A19-1,A19-2,A23-2                                               
WCH34/      A23-1                           A22-1,A22-2                                                     
WCH35/      A23-1                           A22-2,A23-1                                                     
WCHG/       A24-1                           A7-1,A16-1,A16-2,A17-2,A22-1,A23-1,A23-2                        
WDORDR      A22-1                           A22-1                                                           
WEBG/       A7-2                            A7-2,A15-1                                                      
WEDOPG/     A7-1                            A12-2                                                           
WEX         A14-1                           
WEY         A14-1                           
WFBG/       A7-2                            A7-2,A15-1                                                      
WG/         A4-2,A5-1,A6-1,A6-2,A12-1       A7-2,A12-2                                                      
WG1G/       A7-1                            A8-1,A8-2,A9-1,A9-2,A10-1,A10-2,A11-1,A11-2                     
WG2G/       A7-1                            A11-2                                                           
WG3G/       A7-1                            A8-1,A8-2,A9-1,A9-2,A10-1,A10-2,A11-1,A11-2                     
WG4G/       A7-1                            A8-1,A8-2,A9-1,A9-2,A10-1,A10-2,A11-1                           
WG5G/       A7-1                            A11-2                                                           
WGA/        A12-2                           A7-1                                                            
WGNORM      A7-1                            A7-1                                                            
WHOMP       A11-1                           A11-1,A11-2                                                     
WHOMP/      A11-1                           A11-1,A14-1                                                     
WHOMPA      A14-1                           A10-2,A11-2                                                     
WL/         A4-2,A5-2,A6-1                  A7-1                                                            
WL01        A8-1                            A8-1,A24-1                                                      
WL01/       A8-1                            A4-1,A8-1,A11-1,A11-2,A12-2,A15-1                               
WL02        A8-1                            A8-1,A24-1                                                      
WL02/       A8-1                            A4-1,A8-1,A8-2,A11-1,A12-2,A15-1                                
WL03        A8-2                            A8-2,A24-1                                                      
WL03/       A8-2                            A4-1,A8-1,A8-2,A12-2,A15-1                                      
WL04        A8-2                            A8-2,A24-1                                                      
WL04/       A8-2                            A4-1,A8-1,A8-2,A9-1,A12-2                                       
WL05        A9-1                            A9-1,A24-1                                                      
WL05/       A9-1                            A4-1,A8-2,A9-1,A12-2                                            
WL06        A9-1                            A9-1,A24-1                                                      
WL06/       A9-1                            A4-1,A8-2,A9-1,A9-2,A12-2                                       
WL07        A9-2                            A9-2,A24-1                                                      
WL07/       A9-2                            A4-1,A9-1,A9-2,A12-2                                            
WL08        A9-2                            A9-2,A24-1                                                      
WL08/       A9-2                            A4-1,A9-1,A9-2,A10-1,A12-2                                      
WL09        A10-1                           A10-1,A24-1                                                     
WL09/       A10-1                           A4-1,A9-2,A10-1,A12-2,A15-1                                     
WL10        A10-1                           A10-1,A24-1                                                     
WL10/       A10-1                           A3-1,A4-1,A9-2,A10-1,A10-2,A12-2,A15-1                          
WL11        A10-2                           A10-2,A14-2,A24-2                                               
WL11/       A10-2,A14-2                     A3-1,A4-1,A10-1,A10-2,A12-2,A15-1                               
WL12        A10-2                           A10-2,A24-2                                                     
WL12/       A10-2                           A3-1,A4-1,A10-1,A10-2,A11-1,A12-2,A15-1                         
WL13        A11-1                           A11-1,A24-2                                                     
WL13/       A11-1                           A3-1,A4-1,A10-2,A11-1,A12-2,A15-1                               
WL14        A11-1                           A11-1,A24-2                                                     
WL14/       A11-1                           A3-1,A4-1,A10-2,A11-1,A11-2,A12-2,A15-1                         
WL15        A11-2                           A2-3,A11-2                                                      
WL15/       A11-2                           A4-1,A11-1,A11-2                                                
WL16        A9-1,A11-2                      A2-3,A11-2,A14-2,A24-2                                          
WL16/       A11-2,A14-2                     A2-3,A3-1,A4-1,A8-1,A11-1,A11-2,A15-1                           
WLG/        A7-1                            A8-1,A8-2,A9-1,A9-2,A10-1,A10-2,A11-1,A11-2                     
WOR0        A4-2                            A4-2,A5-2                                                       
WOR0/       A4-2                            A4-2                                                            
WOVR        A6-2                            A6-2,A15-2                                                      
WOVR/       A15-2                           A15-2,A19-1                                                     
WQ/         A6-1                            A7-1                                                            
WQG/        A7-1                            A8-1,A8-2,A9-1,A9-2,A10-1,A10-2,A11-1,A11-2                     
WRD1B1      A22-2                           A22-1                                                           
WRD1BP      A22-2                           A22-1                                                           
WRD2B2      A22-2                           
WRD2B3      A22-2                           A22-1                                                           
WRITE0      A4-2                            A4-2                                                            
WRITE0/     A4-2                            A4-2                                                            
WS/         A5-2,A6-2                       A7-1                                                            
WSC/        A6-1,A6-2                       A14-2                                                           
WSCG/       A14-2                           A7-1,A7-2                                                       
WSG/        A7-1                            A7-1,A12-2                                                      
WSQG/       A3-1                            A3-1                                                            
WT          A2-1                            A2-1                                                            
WT/         A2-1                            A2-1,A7-1,A24-1                                                 
WY/         A4-2,A5-1,A5-2,A6-1             A7-1                                                            
WY12/       A5-1,A5-2                       A7-1                                                            
WYD/        A5-2,A6-1                       A7-1                                                            
WYDG/       A7-1                            A8-1,A8-2,A9-1,A9-2,A10-1,A10-2,A11-1,A11-2                     
WYDLOG/     A7-1                            A8-1                                                            
WYHIG/      A7-1                            A11-1,A11-2                                                     
WYLOG/      A7-1                            A8-1,A8-2,A9-1,A9-2,A10-1,A10-2                                 
WZ/         A5-1,A5-2,A6-1                  A7-1                                                            
WZG/        A7-1                            A8-1,A8-2,A9-1,A9-2,A10-1,A10-2,A11-1,A11-2                     
XB0         A14-2,A17-2                     A14-2,A21-3                                                     
XB0/        A14-2                           A7-1,A7-2,A12-2,A14-2,A15-1,A15-2,A17-1,A17-2,A23-2             
XB0E        A14-2                           
XB1         A14-2                           A14-2                                                           
XB1/        A14-2                           A7-1,A7-2,A12-2,A14-2,A15-2,A17-1,A17-2,A23-2                   
XB1E        A14-2                           
XB2         A14-2                           A14-2,A20-1                                                     
XB2/        A14-2                           A7-1,A7-2,A12-2,A14-2,A16-2,A17-1,A23-2                         
XB2E        A14-2                           
XB3         A14-2                           A7-2,A14-2,A20-2                                                
XB3/        A14-2                           A7-2,A12-2,A14-2,A17-1,A19-1,A22-1,A23-2,A24-1                  
XB3E        A14-2                           
XB4         A14-2                           A14-2,A20-2                                                     
XB4/        A14-2                           A7-2,A14-2,A15-1,A15-2,A22-1,A23-1,A23-2,A24-1                  
XB4E        A14-2                           
XB5         A14-2                           A14-2,A21-3                                                     
XB5/        A14-2                           A7-1,A7-2,A14-2,A16-1,A18-1,A19-1,A23-1                         
XB5E        A14-2                           
XB6         A14-2                           A14-2,A21-3                                                     
XB6/        A14-2                           A7-2,A14-2,A15-2,A16-1,A18-1,A19-1                              
XB6E        A14-2                           
XB7         A14-2                           A14-2,A20-1                                                     
XB7/        A14-2                           A4-1,A14-2,A15-2,A19-2,A23-2,A24-1                              
XB7E        A14-2                           
XLNK0       A29                             A19-2                                                           
XLNK0/      A19-2                           A19-1                                                           
XLNK1       A29                             A19-2                                                           
XLNK1/      A19-2                           A19-1                                                           
XT0         A14-2                           A13-1,A14-2                                                     
XT0/        A13-1,A14-2                     A5-2,A7-1,A7-2,A14-2,A15-2,A16-1,A23-2,A24-1                    
XT0E        A14-2                           
XT1         A14-2                           A13-1,A14-2                                                     
XT1/        A13-1,A14-2                     A4-1,A14-2,A15-2,A16-2,A17-2,A18-1,A22-1                        
XT1E        A14-2                           
XT2         A14-2                           A14-2                                                           
XT2/        A14-2                           A5-2,A14-2,A15-2                                                
XT2E        A14-2                           
XT3         A14-2                           A14-2                                                           
XT3/        A14-2                           A5-2,A14-2,A15-2,A17-1,A19-1,A23-1                              
XT3E        A14-2                           
XT4         A14-2                           A14-2                                                           
XT4/        A14-2                           A5-2,A14-2,A15-1,A15-2                                          
XT4E        A14-2                           
XT5         A14-2                           A14-2                                                           
XT5/        A14-2                           A5-2,A14-2,A15-1                                                
XT5E        A14-2                           
XT6         A14-2                           A14-2                                                           
XT6/        A14-2                           A5-2,A14-2                                                      
XT6E        A14-2                           
XT7         A14-2                           A14-2                                                           
XT7/        A14-2                           A14-2                                                           
XT7E        A14-2                           
XUY01/      A8-1                            A8-1,A11-2                                                      
XUY02/      A8-1                            A8-1,A11-2                                                      
XUY03/      A8-2                            A8-1,A8-2                                                       
XUY04/      A8-2                            A8-1,A8-2                                                       
XUY05/      A9-1                            A8-2,A9-1                                                       
XUY06/      A9-1                            A8-2,A9-1                                                       
XUY07/      A9-2                            A9-1,A9-2                                                       
XUY08/      A9-2                            A9-1,A9-2                                                       
XUY09/      A10-1                           A9-2,A10-1                                                      
XUY10/      A10-1                           A9-2,A10-1                                                      
XUY11/      A10-2                           A10-1,A10-2                                                     
XUY12/      A10-2                           A10-1,A10-2                                                     
XUY13/      A11-1                           A10-2,A11-1                                                     
XUY14/      A11-1                           A10-2,A11-1                                                     
XUY15/      A11-2                           A11-1,A11-2                                                     
XUY16/      A11-2                           A11-1,A11-2                                                     
YB0         A14-2                           A14-2                                                           
YB0/        A14-2                           A5-2,A14-2                                                      
YB0E        A14-2                           
YB1         A14-2                           A14-2                                                           
YB1/        A14-2                           A14-2                                                           
YB1E        A14-2                           
YB2         A14-2                           A14-2                                                           
YB2/        A14-2                           A14-2                                                           
YB2E        A14-2                           
YB3         A14-2                           A14-2                                                           
YB3/        A14-2                           A14-2                                                           
YB3E        A14-2                           
YT0         A7-2                            A7-2                                                            
YT0/        A7-2                            A5-2,A7-2                                                       
YT0E        A7-2                            
YT1         A7-2                            A7-2                                                            
YT1/        A7-2                            A7-2                                                            
YT1E        A7-2                            
YT2         A7-2                            A7-2                                                            
YT2/        A7-2                            A7-2                                                            
YT2E        A7-2                            
YT3         A7-2                            A7-2                                                            
YT3/        A7-2                            A7-2                                                            
YT3E        A7-2                            
YT4         A7-2                            A7-2                                                            
YT4/        A7-2                            A7-2                                                            
YT4E        A7-2                            
YT5         A7-2                            A7-2                                                            
YT5/        A7-2                            A7-2                                                            
YT5E        A7-2                            
YT6         A7-2                            A7-2                                                            
YT6/        A7-2                            A7-2                                                            
YT6E        A7-2                            
YT7         A7-2                            A7-2                                                            
YT7/        A7-2                            A7-2                                                            
YT7E        A7-2                            
Z01/        A8-1                            A8-1                                                            
Z02/        A8-1                            A8-1                                                            
Z03/        A8-2                            A8-2                                                            
Z04/        A8-2                            A8-2                                                            
Z05/        A9-1                            A9-1                                                            
