-81	-39	-42	-38	-71	-62	-37	-36	-61	-51	-35	-34	-33	-24	-23	-12	-2	-41	-22	-32	-30	-1	-31	-21	-11	0	FIND	DRAWING	TITLE	STRIKE
X	X	X	X	X	X	X	X	X	X	X	X	X					X		X			X				REF	2012741	SCHEMATIC DIAGRAM SEXTANT	
																				X						REF	2012732	SCHEMATIC DIAGRAM SEXTANT (?)	
													X	X	X	X		X			X		X	X	X	REF	2012391	SCHEMATIC DIAGRAM SEXTANT (?)	
X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	REF	2012390	SCHEMATIC DIAGRAM, SCANNING TELESCOPE	
																													
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	13	2011960	SCT EYEPIECE ASSEMBLY	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	12	2011734	HOUSING, SCT PRISM, ASSY OF	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	11	2011786	MIRROR HOUSING ASSY (SXT EYEPIECE)	
48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	10	NAS1352C04LL8	SCREW, CAP, SOC HD, SELF-LOCKING	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	9	2011784-011	PANEL ASSEMBLY SCT	
0	1	0	1	0	0	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	8	2011711-000	PANEL ASSEMBLY, SEXTANT	
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	7	1011745-4	GASKET	
4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	6	NAS1190C04R4L	SCREW, SELF-LOCKING PAN HD, FULL THD 250 DEGREES	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	2012547	COVER AND BAFFLE, ASSY OF	
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	2011602	NUT, SLOTTED FLAT, CSK HEAD	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	3	2011604	COVER, SEXTANT HEAD	
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2011603	ROD, THREADED	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2011890-000	OPTICAL UNIT SUBASSY STAGE II	
																													
X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	REF	X	PROOFED	X
